G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
4.93279e-05,641.444,1.19318e-05,5.06528,5.23477,5.04359,0.00376397,0.191232,1.24862,0.0855284,0.131334
4.93584e-05,641.133,1.1941e-05,5.09989,5.33057,5.04359,0.00390908,0.0660794,1.69707,0.0738838,0.127208
4.78446e-05,599.78,1.13842e-05,5.09384,5.33057,5.10633,0.00398134,0.020928,0.868615,0.119865,0.0938237
4.62099e-05,593.763,1.13344e-05,5.0756,5.33057,5.05879,0.00384945,0.019247,1.06109,0.117568,0.11092
4.6609e-05,593.763,1.13594e-05,5.16137,5.26631,5.05879,0.00363191,0.0471488,1.70924,0.0721345,0.122965
4.63934e-05,593.763,1.10437e-05,5.16069,5.04229,5.05879,0.003878,0.0847268,1.12276,0.168426,0.0831531
4.63934e-05,598.455,1.10437e-05,5.12435,4.58633,4.65693,0.00381651,0.0394404,1.24209,0.0543668,0.139166
4.5144e-05,593.186,1.10437e-05,5.10248,4.62197,4.72139,0.00403815,0.0676881,1.23798,0.0959864,0.0811363
4.73415e-05,596.708,1.10437e-05,5.10248,4.55812,4.72139,0.00403245,0.0374629,1.24893,0.0975549,0.074825
5.02145e-05,579.58,1.10575e-05,5.10248,4.55812,4.81042,0.00392604,0.0649512,1.50366,0.133186,0.11437
5.02145e-05,605.158,1.10575e-05,5.10248,4.63828,4.98892,0.00401625,0.0551285,1.26615,0.121151,0.0967713
5.02145e-05,608.092,1.10575e-05,5.07465,4.69607,4.83277,0.00391154,0.007982,1.44353,0.0946757,0.091311
5.03342e-05,606.782,1.10575e-05,5.07465,4.83615,5.06462,0.00389374,0.0826435,1.49307,0.140962,0.0974875
4.95537e-05,606.782,1.12119e-05,5.15467,4.83615,5.26088,0.0040013,0.102103,1.88289,0.101023,0.0782049
4.95537e-05,606.782,1.12281e-05,5.03797,4.63405,5.14685,0.00371583,0.0359841,0.992392,0.0688586,0.181477
4.9001e-05,612.617,1.13943e-05,4.94466,4.35576,5.30758,0.00405553,0.0310908,1.65807,0.0815692,0.0724567
4.79504e-05,612.617,1.16898e-05,4.95169,4.21233,5.63205,0.00410581,0.0523409,1.6051,0.124203,0.0821113
4.90387e-05,629.763,1.16898e-05,5.12251,4.21233,5.62316,0.00398006,0.137008,1.00064,0.135214,0.149546
4.72817e-05,629.763,1.154e-05,5.12251,4.35554,5.21718,0.00378456,0.0420538,1.10989,0.104939,0.202223
